"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle"
"73652",601924.769362268,7882221.04617455,2010-02-01 00:00:00,82.0960340588354,161.202179061249,180.903016399076,1200,0,1.09975729206257,NA
"73653",602006.865396327,7882382.24835361,2010-02-01 00:20:00,-11.8767234102124,18.9786980012432,22.3885581667306,1200,32725.9013422844,2.12996519584946,1.03020790378689
"73654",601994.988672917,7882401.22705161,2010-02-01 00:40:00,48.182977826451,26.2998334337026,54.8933565275869,1200,37395.9000469767,0.499637936252157,-1.6303272595973
"73655",602043.171650743,7882427.52688504,2010-02-01 01:00:00,91.2561796754599,-154.284794725478,179.252582163947,1200,56653.385723148,-1.03666600201179,-1.53630393826395
"73656",602134.427830419,7882273.24209032,2010-02-01 01:20:00,49.2327108172467,-15.8091013738886,51.7086791618634,1200,46681.0868903721,-0.310709248842283,0.725956753169512
"73657",602183.660541236,7882257.43298894,2010-02-01 01:40:00,0.644024625071324,0.446825576014817,0.783849993990708,1200,68348.6428092766,0.606554112560148,0.917263361402431
"73658",602184.304565861,7882257.87981452,2010-02-01 02:00:00,-0.968341602827422,-0.895430034026504,1.31889362937391,1200,68715.238937632,-2.39529499297827,-3.00184910553842
"73659",602183.336224258,7882256.98438449,2010-02-01 02:20:00,0.856059209443629,-0.00476316455751657,0.856072460607075,1200,68148.3770529748,-0.00556400229329353,2.38973099068497
"73660",602184.192283468,7882256.97962132,2010-02-01 02:40:00,-104.714267475065,119.686145099811,159.02783134311,1200,68591.4646407439,2.28957375234101,2.2951377546343
"73661",602079.478015993,7882376.66576642,2010-02-01 03:00:00,-113.664795567864,107.352791553363,156.346754381996,1200,48152.2249122695,2.38474556116394,0.0951718088229305
"73662",601965.813220425,7882484.01855798,2010-02-01 03:20:00,-84.6818857927574,144.114804666489,167.152920122497,1200,70839.0727378793,2.10204842063156,-0.282697140532379
"73663",601881.131334632,7882628.13336264,2010-02-01 03:40:00,-5.54346354911104,3.63290684297681,6.62782017333531,1200,167624.256166196,2.56146588987177,0.459417469240208
"73664",601875.587871083,7882631.76626948,2010-02-01 04:00:00,-0.645275056478567,-0.671480462886393,0.931271126230994,1200,171109.815460189,-2.33629561973168,1.38542379757613
"73665",601874.942596026,7882631.09478902,2010-02-01 04:20:00,-7.8534360206686,50.0267132455483,50.6393966737663,1200,170622.572866174,1.72651032403831,-2.22037936340959
"73666",601867.089160006,7882681.12150227,2010-02-01 04:40:00,18.1560302197468,109.997040097602,111.485381389552,1200,214996.312909302,1.4072120175326,-0.319298306505705
"73667",601885.245190226,7882791.11854236,2010-02-01 05:00:00,-36.4761054653209,174.918626488186,178.681370496286,1200,326544.664724331,1.77638197109212,0.369169953559518
"73668",601848.76908476,7882966.03716885,2010-02-01 05:20:00,308.949249021476,-25.3557239342481,309.98798558519,1200,560787.623777375,-0.0818873136029837,-1.8582692846951
"73669",602157.718333782,7882940.68144492,2010-02-01 05:40:00,182.651896843687,-34.3390918392688,185.85179215962,1200,572140.145691252,-0.185833755391717,-0.103946441788733
"73670",602340.370230625,7882906.34235308,2010-02-01 06:00:00,220.04224053456,-101.868670149706,242.478480648363,1200,642354.93408952,-0.433571238938041,-0.247737483546324
"73671",602560.41247116,7882804.47368293,2010-02-01 06:20:00,278.764083967661,-524.356832887046,593.851414670086,1200,744429.819418447,-1.08216567499398,-0.648594436055938
"73672",602839.176555128,7882280.11685004,2010-02-01 06:40:00,714.897297864431,-659.881730892695,972.893645400053,1200,839629.859056331,-0.745401752104144,0.336763922889834
"73673",603554.073852992,7881620.23511915,2010-02-01 07:00:00,373.130047044368,-211.723541958258,429.013857849233,1200,3015607.04778062,-0.51612328869134,0.229278463412805
"73674",603927.203900036,7881408.51157719,2010-02-01 07:20:00,323.207664341899,-109.455682572909,341.238539348718,1200,4669956.54994694,-0.326531803603344,0.189591485087996
"73675",604250.411564378,7881299.05589462,2010-02-01 07:40:00,477.806173729943,-387.728693046607,615.331032100672,1200,6258677.72851834,-0.681700004655927,-0.355168201052583
"73676",604728.217738108,7880911.32720157,2010-02-01 08:00:00,34.0419382245746,-89.8043293263763,96.0399454594077,1200,9574686.58417149,-1.20846405973685,-0.526764055080918
"73677",604762.259676333,7880821.52287225,2010-02-01 08:20:00,-34.0448283175938,-41.9098831964657,53.9952650212575,1200,10010016.7560958,-2.2530129585851,-1.04454889884826
"73678",604728.214848015,7880779.61298905,2010-02-01 08:40:00,584.286571352044,-59.8568351026624,587.344565115601,1200,9937036.21981055,-0.102088171905815,2.15092478667929
"73679",605312.501419367,7880719.75615395,2010-02-01 09:00:00,934.41797439428,-244.722665444948,965.932779158876,1200,13730600.216652,-0.256145522187078,-0.154057350281263
"73680",606246.919393762,7880475.0334885,2010-02-01 09:20:00,327.363594461349,-52.1082297051325,331.484827076078,1200,21729541.1945704,-0.157851137617531,0.0982943845695474
"73681",606574.282988223,7880422.9252588,2010-02-01 09:40:00,33.7427433987614,-29.0159812886268,44.5028078014926,1200,24851215.7855989,-0.710223678686729,-0.552372541069199
"73682",606608.025731622,7880393.90927751,2010-02-01 10:00:00,187.547321133199,3.41236319020391,187.578361989813,1200,25271319.4616126,0.0181926710244093,0.728416349711139
"73683",606795.573052755,7880397.3216407,2010-02-01 10:20:00,165.802551300381,-130.203140964732,210.81590057393,1200,27050699.766622,-0.665707055796488,-0.683899726820897
"73684",606961.375604055,7880267.11849973,2010-02-01 10:40:00,47.6341943531297,5.35077005065978,47.9337794442163,1200,29185235.793212,0.111861519274122,0.77756857507061
